หมายเลขบ่อน้ำบาดาล,ปีงบประมาณ,หน่วยงานเจ้าของบ่อ,หน่วยงานที่รับผิดชอบ,สถานะที่เจาะ,หมู่ที่,ชื่อหมู่บ้าน,ชื่อตำบล,ชื่ออำเภอ,ชื่อจังหวัด,ประเภทบ่อน้ำบาดาล,สถานะบ่อน้ำบาดาล,สภาพน้ำบาดาล,เครื่องสูบ,วันที่เริ่มเจาะ,วันที่สิ้นสุดการเจาะ,ความลึกเจาะ,ความลึกพัฒนา,ปริมาณน้ำ,ระยะน้ำลด,ระดับน้ำปกติ,ขนาดบ่อน้ำ,แรงม้า,ลงท่อดูด,วันที่ติดตั้งระบบปะปา,UTM_DATUM,ZoneNumber,ZoneDesignators,utme,utmn,LATITUDE,LONGITUDE,สถานะข้อมูล
49080W053,2546,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,นางเนาวนัตน ทุ่นคุ้มทอง,1,ดอนไก่ดี,ดอนไก่ดี,กระทุ่มแบน,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,,,,,,,,,,,,,,WGS84,,,635606,1508204,,,อนุมัติ
4908W050,2546,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,นายสมพล ทุนคุ้มทอง,5,คลองแสนสุข,คลองมะเดื่อ,กระทุ่มแบน,สมุทรสาคร,อุปโภค-บริโภค,ใช้การได้,,,,,,,,,,,,,,WGS84,,,639720,1509486,13.65086481,100.2917897,อนุมัติ
5202C001,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนไทยรัฐวิทยา 2,03,ช้าง,ช้างใหญ่,บางไทร,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),15/12/2552 0:00:00,23/12/2552 0:00:00,228.00,228.00,4.80,2.40,19.27,150,1.00,27.00,,WGS84,47,P,664100,1565300,14.15408539,100.5204346,อนุมัติ
5202C002,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดโสภณเจติการาม,7,คู่มักเม่า,คู้สลอด,ลาดบัวหลวง,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,ไม่ได้ติดตั้ง,24/12/2552 0:00:00,30/12/2552 0:00:00,212.00,212.00,12.00,15.00,18.00,150,0.00,0.00,,WGS84,47,P,648200,1569500,14.1929379,100.3733765,อนุมัติ
5208A002,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,โรงเรียนวัดสระพัง,6,สระพัง,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),26/11/2552 0:00:00,2/12/2552 0:00:00,120.00,117.00,12.00,2.90,30.00,,2.00,,,WGS84,47,P,611528,1550711,14.02792955,100.0436825,อนุมัติ
5300A003,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 8,บ้านนายวงษ์,,,ดอนข่อย,กำแพงแสน,นครปฐม,อุปโภค-บริโภค,ใช้การได้,,,17/1/2553 0:00:00,23/1/2553 0:00:00,106.00,105.00,20.00,,32.00,,1.00,,,WGS84,47,P,611330,1550512,14.02299355,100.0309745,อนุมัติ
5302A026,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดพรานนก,2,พรานนก,โพสาวหาญ,อุทัย,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),3/12/2553 0:00:00,9/12/2553 0:00:00,182.00,182.00,22.50,9.91,32.24,,2.00,57.00,,WGS84,47,P,692002,1587840,14.35601294,100.7804706,อนุมัติ
5302A027,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,"โรงเรียนท่าเรือ""นิตยานุกุล""",,,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),10/12/2553 0:00:00,16/12/2553 0:00:00,90.00,84.00,10.90,9.41,40.99,,1.50,60.00,,WGS84,47,P,685659,1611399,14.56936282,100.7233111,อนุมัติ
5302A028,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,"โรงเรียนผักไห่""สุทธาประมุข""",07,อ้อ,อมฤต,ผักไห่,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),17/12/2553 0:00:00,21/12/2553 0:00:00,190.00,182.00,12.00,0.21,12.33,,1.50,30.00,,WGS84,47,P,648002,1600005,14.46868735,100.3732191,อนุมัติ
5302B029,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดดอนพุดซา,10,ดอนพุดซา,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),15/11/2553 0:00:00,21/11/2553 0:00:00,180.00,172.00,9.23,16.33,40.42,,1.00,60.00,,WGS84,47,P,687901,1587074,14.34937281,100.7424003,อนุมัติ
5302B031,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนศรีบางไทร,04,ใหม่,บางไทร,บางไทร,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),3/12/2553 0:00:00,21/12/2553 0:00:00,308.00,306.00,10.00,7.15,34.34,,1.50,,,WGS84,47,P,661383,1571707,14.21215481,100.4956467,อนุมัติ
5302B032,2554,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนลอซีดี,2,สุเหร่ารอซีดี,คลองพระยาบันลือ,ลาดบัวหลวง,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),22/12/2553 0:00:00,29/12/2553 0:00:00,256.00,256.00,24.00,3.03,20.16,,1.00,36.00,,WGS84,47,P,646206,1565279,14.15488815,100.3546753,อนุมัติ
5302C003,2553,กรมทรัพยากรน้ำบาดาล,สำนักทรัพยากรน้ำบาดาล เขต 2,โรงเรียนวัดเชิงท่า,3,เกาะเกิด,เกาะเกิด,บางปะอิน,พระนครศรีอยุธยา,อุปโภค-บริโภค,ใช้การได้,น้ำจืด,สูบไฟฟ้า (ซับเมิสซิเบิ้ล),4/1/2553 0:00:00,11/1/2553 0:00:00,252.00,252.00,7.00,35.00,38.00,150,1.00,0.00,,WGS84,47,P,668446,1570479,14.20063739,100.5610113,อนุมัติ
